数据,目标,字段,背景规模,Δ
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.022282719612121582
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.004464387893676758
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,-0.000260770320892334
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.004389524459838867
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.2819809913635254
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.281913161277771
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.3263038396835327
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.22267723083496094
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.26530683040618896
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.2702091336250305
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.29301655292510986
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.30361539125442505
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.1613960862159729
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0025377273559570312
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.003499329090118408
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,-3.24249267578125e-05
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.04442662000656128
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.01640385389328003
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.006966829299926758
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.004039764404296875
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.007635891437530518
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,2,0.1729346513748169
