sid,size,K,conf,est
p00_03,2,25,net_actual_interchange_mw,0.27203118801116943
p00_03,2,25,gross_actual_interchange_mw,0.16997885704040527
p00_03,2,25,total_gen,0.8052517175674438
p00_03,2,25,metered_load_mw,0.804156482219696
p00_03,2,25,total_losses,0.5414036512374878
p00_03,2,25,congestion_price_da,0.12885981798171997
p00_03,2,25,congestion_price_rt,0.13905781507492065
p00_03,2,25,marginal_loss_price_da,0.3443142771720886
p00_03,2,25,total_lmp_da,0.4580669403076172
p00_03,2,25,da_as_total_mw_primary_reserve,0.12916165590286255
