数据,目标,变体,集合误差,偏差,字段最大高估,边际99分位,M2偏差,M2误差,边际误差,共模相关,共模占比,严重低估,严重高估
PJM-load,metered_load_mw,recon+random@2_cy,0.0464574433863163,-0.043723270297050476,0.06832460314035416,0.08694414049386978,-0.024927501820705154,0.025423320348967205,0.025760481134057045,0.7353185694445784,0.7336825132369995,170,0
PJM-gen/ic,total_gen,random,0.04724074900150299,-0.04595625028014183,0.13118286430835724,0.14893652498722076,-0.008487257485588392,0.041048554703593254,0.029157260432839394,0.685053081405738,0.6835727691650391,252,0
PJM-gen/ic,net_actual_interchange_mw,random,0.04918600246310234,-0.04840020090341568,0.09917975217103958,0.053694263100624084,-0.013275954872369766,0.020793690035740536,0.02804514765739441,0.673943180471962,0.6690953969955444,44,0
PJM-gen/ic,total_gen,uniform,0.058561086654663086,-0.05756586790084839,0.14797450602054596,0.16627468168735504,-0.03193552605807781,0.04292869381606579,0.03390401974320412,0.7053191816957937,0.7044020891189575,326,0
PJM-gen/ic,net_actual_interchange_mw,uniform,0.058248911052942276,-0.05770651996135712,0.0507686622440815,0.037153877317905426,-0.026028946973383427,0.027665015620489914,0.02977580763399601,0.7180540159413434,0.7066354751586914,122,0
PJM-gen/ic,total_gen,small,0.05896449089050293,-0.058047179132699966,0.1346500664949417,0.1720772534608841,-0.030446944758296013,0.04248070903122425,0.034355662763118744,0.7019053735516378,0.70134037733078,318,0
PJM-gen/ic,net_actual_interchange_mw,small,0.0616895854473114,-0.06118594482541084,0.061380814760923386,0.03403816372156143,-0.029859918790558975,0.03157908065865437,0.030482444912195206,0.7196791926196104,0.7112584710121155,137,0
PJM-gen/ic,total_gen,recon,0.04358997941017151,-0.04145576059818268,0.09660039097070694,0.13341453671455383,-0.028484249177078407,0.034384095730880894,0.02681407891213894,0.6989006940372073,0.6982676386833191,228,0
PJM-gen/ic,net_actual_interchange_mw,recon,0.04605545103549957,-0.044658929109573364,0.2480459213256836,0.13258807361125946,0.07700899057090282,0.09499239859481652,0.027214644476771355,0.6241822045601191,0.6233296394348145,40,0
PJM-gen/ic,total_gen,small_recon,0.047444093972444534,-0.045858729630708694,0.1834876984357834,0.17261065542697906,0.02980951778590679,0.06765181012451649,0.02935396507382393,0.6864435178760497,0.6864424347877502,259,0
PJM-gen/ic,net_actual_interchange_mw,small_recon,0.05078933387994766,-0.04971069470047951,0.17982447147369385,0.10700584203004837,0.03875919493536154,0.06172658192614714,0.028324520215392113,0.6659235759930466,0.6658625602722168,56,0
PJM-gen/ic,total_gen,uniform+random,0.044512126594781876,-0.042704470455646515,0.1497081071138382,0.14135967195034027,-0.007843634113669395,0.03925734447936217,0.02788439579308033,0.6848888246120083,0.6835668087005615,233,0
PJM-gen/ic,net_actual_interchange_mw,uniform+random,0.0455961711704731,-0.04437819868326187,0.17879752814769745,0.074249766767025,0.04212861818571886,0.06275796952346961,0.027005290612578392,0.6481677860338462,0.6466522216796875,43,0
PJM-gen/ic,total_gen,recon+random,0.03963860869407654,-0.03747107461094856,0.11969076842069626,0.12178117781877518,-0.021436817633608978,0.031593275256454945,0.025481808930635452,0.6755311160869646,0.6723089218139648,166,0
PJM-gen/ic,net_actual_interchange_mw,recon+random,0.04083282873034477,-0.03912045434117317,0.1937529295682907,0.06699769198894501,0.0548972071458896,0.06992685608565807,0.02482212893664837,0.6270064341094572,0.624941885471344,29,0
PJM-gen/ic,total_gen,uniformE,0.0532793253660202,-0.051800284534692764,0.1533825546503067,0.15567922592163086,-0.03379345592111349,0.04276576545089483,0.03102647326886654,0.7077092364811483,0.7069048881530762,307,0
PJM-gen/ic,net_actual_interchange_mw,uniformE,0.05410471931099892,-0.053209125995635986,0.08168383687734604,0.0378635972738266,-0.021124134150644142,0.023561952946086723,0.028460707515478134,0.7101884431426689,0.6990088224411011,86,0
PJM-gen/ic,total_gen,reconE,0.03963888809084892,-0.03677280247211456,0.19525468349456787,0.15505541861057281,0.049525732174515724,0.0769550446420908,0.025641167536377907,0.6816592306687121,0.6816127300262451,191,0
PJM-gen/ic,net_actual_interchange_mw,reconE,0.041708458214998245,-0.03964681178331375,0.20244203507900238,0.04709676280617714,0.0596325658261776,0.07363334422310193,0.024253815412521362,0.653928864167038,0.6495227813720703,20,0
